Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Sims 3,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T
World of Warcraft,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T
Diablo III,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M
Microsoft Flight Simulator,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,,,,,,
StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T
Warcraft II: Tides of Darkness,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21,,,,,,
Half-Life,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161.0,Valve Software,M
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,91.0,46.0,7.9,785.0,Blizzard Entertainment,T
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios,M
The Sims: Unleashed,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,79.0,21.0,8.0,29.0,Maxis,T
Doom II: Hell on Earth,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61,,,,,,
The Sims: Vacation,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,75.0,18.0,7.8,22.0,Maxis,T
The Sims 4,2014.0,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05,70.0,74.0,3.9,2057.0,Maxis,T
The Sims: Livin Large,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99,82.0,23.0,6.6,20.0,Maxis,T
Star Wars: The Old Republic,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96,85.0,73.0,5.9,2748.0,"LucasArts, BioWare",T
Command & Conquer: Red Alert,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,,,,,,
Myst,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,,,,,,
Battlefield 3,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78,89.0,61.0,7.5,4926.0,EA DICE,M
Riven: The Sequel to Myst,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,83.0,12.0,,,Cyan Worlds,E
Theme Hospital,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4,,,9.0,90.0,Bullfrog Productions,K-A
Monopoly,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,,,,,,
Half-Life 2,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,96.0,81.0,9.1,8665.0,Valve Software,M
Guild Wars 2,2012.0,Action,NCSoft,0.96,1.07,0.0,0.27,2.31,90.0,69.0,7.9,2954.0,ArenaNet,T
Tomb Raider II,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,,,8.3,37.0,Core Design Ltd.,
The Sims: House Party,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,74.0,17.0,7.9,30.0,Maxis,T
SimCity 2000,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14,,,,,,
World of Warcraft: Cataclysm,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,90.0,53.0,5.6,953.0,Blizzard Entertainment,T
Sim Theme Park,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,,,8.3,14.0,Bullfrog Productions,E
Warcraft: Orcs & Humans,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,,,,,,
Star Wars: Dark Forces,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,,,,,,
Who wants to be a millionaire,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94,,,,,Jellyvision,E
