appid,price
10,9.99
100,9.99
10090,19.99
10180,19.99
10190,19.99
102500,19.99
10270,14.99
104900,0.99
10500,24.99
105450,39.99
105600,9.99
10680,23.99
107100,14.99
107200,9.99
107410,39.99
108200,9.99
108600,14.99
108710,19.99
108800,29.99
110800,19.99
113020,19.99
113200,4.99
11450,4.99
115320,39.99
1200,4.99
12100,9.99
12110,9.99
12120,14.99
12140,9.99
12150,9.99
12200,14.99
12210,19.99
12220,19.99
12320,9.99
1250,19.99
12810,9.99
130,4.99
13210,19.99
13230,14.99
13520,9.99
15100,19.99
15120,9.99
15170,9.99
15210,9.99
15320,9.99
15370,9.99
15620,19.99
15700,2.99
16450,14.99
16810,29.99
17300,19.99
17390,19.99
17410,19.99
17430,9.99
17440,19.99
17450,19.99
17460,19.99
17470,19.99
17480,19.99
18500,9.99
1900,4.99
1930,9.99
19900,9.99
20,4.99
200170,14.99
200260,19.99
200510,29.99
200710,19.99
201310,9.99
201790,14.99
201810,29.99
201870,19.99
202200,19.99
202970,59.99
202990,59.99
203140,19.99
203160,19.99
203350,9.99
203630,24.99
203680,14.99
203770,39.99
204030,9.99
204100,19.99
204120,19.99
204340,9.99
204360,14.99
204450,14.99
204880,44.99
20510,9.99
205100,9.99
20540,19.99
205610,19.99
20570,19.99
205990,19.99
206190,9.99
206420,14.99
206440,12.49
207140,14.99
207170,14.99
207610,14.99
208140,9.99
208200,19.99
208500,19.99
208520,14.99
208580,9.99
208650,19.99
20900,9.99
209000,19.99
209080,4.99
209160,59.99
209170,59.99
20920,19.99
209650,99.99
209660,99.99
2100,9.99
21000,19.99
210770,14.99
21090,54.99
210970,39.99
21100,19.99
21130,19.99
211820,14.99
212480,19.99
212680,9.99
213330,19.99
213610,9.99
213670,29.99
213850,9.99
214170,5.99
214340,39.99
214490,39.99
214510,19.99
214730,14.99
214950,59.99
215530,14.99
215930,6.99
216260,19.99
216890,14.99
21690,19.99
217200,14.99
218510,9.99
218620,9.99
218640,24.99
218680,19.99
219150,9.99
219640,24.99
219740,9.99
219780,29.99
219830,9.99
219990,24.99
220,9.99
220200,39.99
220240,19.99
220260,14.99
220440,29.99
220700,69.99
220740,129.99
22100,9.99
221040,29.99
221100,44.99
221260,14.99
22130,14.99
221380,19.99
221540,14.99
221680,29.99
